score,text,class
0,presiden joko widodo syukur atas lancar shalat idul fitri hijriah di halaman gedung agung istana presiden yogyakarta senin ,Neutral
-2,rt masya allah allahu akbar shalat idul fitri di jakarta international stadium jis pecah ,Negative
3,presiden joko widodo jokowi laksana shalat idul fitri di yogyakarta bukan di masjid istiqlal jakarta shalat idul fitri di masjid istiqlal hanya hadir oleh wakil presiden maruf amin ,Positive
3,opo ora mak prinding ati bro temu cuil rumah di antah r masjid al hikmah den haag rumah komunitas muslim indonesia besar di belanda tengah jam lagi belum shalat id ,Positive
0,rt hukum shalat di jalan umum turut imam al nawawiada dua alas makruh shalat di jalan umum pertama halang,Neutral
0,khotbah shalat id wabup h saiful arif layar butuh sumber daya manusia yang kualitas ,Neutral
-4,rt umat muslim di afghanistan telah raya idul fitri minggu warna duka serang bom orang tewas ke,Negative
0,warga bandung shalat id di alun alun sampai tutup jalan cihampelas ,Neutral
4,shalat id sama di jis zulhas puji anies sukses bangun jakartavia notd,Positive
-1,kakanwil kemenkumham jateng a yuspahruddinshalat idul fitri h beri remisi khusus hari raya idul fitri kumhampasti bhpsemarang ayuspahruddin kemenkumhamjateng idulfitri h remisi twitter,Negative
0,rt tempat shalat id gubernur anies harap jis jadi stadion serbaguna ,Neutral
0,rt masjid istiqlal selenggara shalat idulfitri h ,Neutral
4,bintan usai laksana ibadah shalat id giat lanjut dengan baca remisi khusus serta serah cara simbolis di ruang aula lapas kelas iia tanjungpinang ,Positive
0,tempat shalat id gubernur anies harap jis jadi stadion serbaguna ,Neutral
0,rt prabowo subianto laksana shalat idul fitri hijriah di masjid nurul wathon ,Neutral
-4,umat muslim di afghanistan telah raya idul fitri minggu warna duka serang bom orang tewas ketika bom ledak di masjid di kabul saat gelar shalat jumat ,Negative
4,rt shalat id sama di jis zulhas sebut anies sukses bangun jakarta ,Positive
0, dia shalat id di istanah tapi enggak tau baca nya apa saya ragu dengan islam nya ,Neutral
4,raya lebaran tahun ini beda dari dua tahun belum masyarakat sudah bisa shalat id berjamaah protokol sehat harus tetap jalan ,Positive
-2,rt masya allah allahu akbar shalat idul fitri di jakarta international stadium jis pecah ,Negative
3,bupati dan wakil bupati bengkalis shalat id di masjid agungistiqomah ,Positive
1,kakanwil a yuspahruddin kemenkumham jateng masjid rutan banjarnegara masih padat jemaah shalat tarawih,Positive
0, alhamdulillah kita semua bisa laksana idul fitri tahun ini ujar presiden ,Neutral
0,pemkab belitung selenggara shalat id di halaman kantor bupati ,Neutral
1,shalat ied di masjid baitul faidzin wabup iwan setiawan mohon maaf lahir batin lewat ,Positive
0,menteri bumn shalat idul fitri di masjid at thohirmenteri bumn erick thohir dan keluarga laksana shalat idul fitri di masjid at thohir cimanggis depok jawa barat senin ini shalat id pertama di masjid at thohir erickthohirsolusirakyat ,Neutral
0,lebaran versi shalat idsalamankumpul keluarga enggak banyak omong sih ya minimal mereka tau aku masih hidup ye wkwkk fiks tara popotoan makanpulangturu kian,Neutral
0,rt masyaalahpuluhan ribu orang antusias tuna sholat id idul fitri di jakarta international stadium jis pada senin me,Neutral
3,jemaah di kota pontianak kalimantan barat antusias ikut shalat idul fitri di sejumlah lokasi senin rindu raya idul fitri yang begitu marak dengan sanak keluarga dan kerabat kembali lagi nusantara adadikompas,Positive
0,rt roy suryo shalat id di jis alam yang luarbiasa ,Neutral
0,siapa yang ikut takbirantapi pasca shalat id malah tidur,Neutral
0,rt shalat id di kawasan jatinegara ,Neutral
0,shalat id di jis anies semua yang hadir adalah bagi dari sejarah saksi ketika sujud takbir ,Neutral
0,suasana shalat idul fitri syawal hijriah di sekitargerejakoinonia jalan matraman raya jatinegara jakarta timur senin mei ,Neutral
1, kakanwil a yuspahruddin kemenkumham jateng masjid rutan banjarnegara masih padat jemaah shalat tarawih,Positive
0,airlangga hartarto syukur masyarakat bisa mudik dan shalat idulfitri di masjid ,Neutral
0,presiden jokowi syukur shalat id dan mudik jalan lancar ,Neutral
4,gubernur arinal dan ibu riana ucap selamat idul fitri h kepada masyarakat lampung laksana shalat ied di aula mah agung,Positive
0,shalat id sudah maaf maaf sudah minum soda sudah tinggal makan bakso ,Neutral
4,rt muhammadiyah telah populer shalat id di lapang sejak ,Positive
-1,prabowo shalat ied di hambalang lalu teman jokowi di yogyakarta dan kunjung diam megawati ,Negative
0,gubernur kalteng shalat id sama warga di halaman rumah jabat ,Neutral
0,rt usai shalat iedjakarta internasional stadiumsenin ,Neutral
0,suasana laksana shalat ied perdana di jis sariagri tani,Neutral
0,shalat id di kawasan jatinegara ,Neutral
0,siang ketemu mega usai shalat id di hambalang prabowo terbang ke yogya mau lebaran sama jokowi ,Neutral
