"score","text","class"
4,"rt kalo kata mbah gua ibu mau omong sama kalian semua tolong dengar baik besok kalau ibu tinggal yang sama","Positive"
5,"ahooiii kawan deli serdang di suasana kemeriahan lebaran saat ini jangan buat kita jadi lalai ingat pandemi covid belum akhir tetap waspada dan bertanggungjawab adalah kunci mudik dan silaturahmi aman covid info lengkap ","Positive"
0,"rt ada yang mau nitip salam silaturahmi iedul fitri untuk habibana muhammad riziek syihab dan habib bahar bin smith sila","Neutral"
-7,"dari pagi sampai sore ikut pantat mama buat silaturahmi dari rumah ke rumah padahal gue kagak kenal harap ada satuuuu saja yang asih thr tau nya malah pada minta thr dan ogebnya malah gue kasih saja ikhlas kok tapi capek iya bangkrut iya ","Negative"
4,"presiden juga menghaturkan selamat idulfitri kepada sultan hamengkubuwono kali gusti kanjeng ratu gkr hemas dan seluruh keluarga keraton yogyakarta ","Positive"
4,"rt bukber enggak suka lebaran enggak suka silaturahmi enggak suka maaf an enggak suka jangan sholat juga enggak suka ","Positive"
4,"dari pagi sampai sore silaturahmi di keluarga mamah sore malam silaturahmi di keluarga bapak mantap sekal hari","Positive"
4,"presiden juga menghaturkan selamat idulfitri kepada sultan hamengkubuwono kali gusti kanjeng ratu gkr hemas dan seluruh keluarga keraton yogyakarta ","Positive"
0,"lihat ig hari ini heartwarming banget foto keluarga pada saat lebaran alhamdulillah akhir pada bisa silaturahmi offline ","Neutral"
0," ikut tim yang makan bakso disruput sampai kuah sambel silaturahmi ke mata ","Neutral"
4,"presiden juga menghaturkan selamat idulfitri kepada sultan hamengkubuwono kali gusti kanjeng ratu gkr hemas dan seluruh keluarga keraton yogyakarta ","Positive"
4,"presiden juga menghaturkan selamat idulfitri kepada sultan hamengkubuwono kali gusti kanjeng ratu gkr hemas dan seluruh keluarga keraton yogyakarta ","Positive"
5,"hai ramadan ini kita harus ketemu ya yuk erat silaturahmi sama traveloka diskon si ada untuk bagai produk dengan promo temu kangen klik link ini ya ","Positive"
5,"hai ramadan ini kita harus ketemu ya yuk erat silaturahmi sama traveloka diskon si ada untuk bagai produk dengan promo temu kangen klik link ini ya ","Positive"
