"score","text","class"
4,"rt malam takbiranaku mau bagi saldo kak dana ovountuk menang rt dan like tweet ini like tweet matan ku ","Positive"
0,"rt giveaway rp draw twitter picker rt ajaend malam takbir zonauang zonaba","Neutral"
0,"post foto pawai obor takbir malah direplay teman kata alay wkwk memang se alay itu dips ","Neutral"
3," seng sabar ya bu komisaris nasib nasib malam takbir ","Positive"
0,"rt markdy belum besok off hari upload dulu edit di malam takbir ","Neutral"
4,"habis jalan sama mama dan manda ke pgc benar jalan karena tiap tahun takbir memang selalu begitu moga bisa selalu begitu ","Positive"
0,"rt telah jadi bakar di malam takbir di jalan warakas jakarta utara sebab karena petas yang kena rumah sa","Neutral"
-6,"enggak iri sama orang takbir sama ayang aku sudah biasa lihat pemandangan kayak begitu lah takbir sama keluarga bantu ibu masak buat habis sholat idul fitri","Negative"
0,"di depan gue ada anak dan bapak anak main game bapak nyemangatin sok sweet banget malam takbir mereka sederhana tapi memorable ","Neutral"
0,"rt kenang takbir syawal sama president bangga indonesia yang hancur biadab komunis di indonesia a","Neutral"
0," takbir ","Neutral"
4," selamat malam takbir pak ","Positive"
0,"buset deh ini jedag jedug takbir rasa banget geternya","Neutral"
-6,"capek banget yang lain pada takbir dia malah telpon detik cuma buat marah marah karena komen ig ","Negative"
0," takbir hola min ","Neutral"
4,"rt inspeksi siap malam takbir dan salat ied di jis ","Positive"
0,"astagfirullah takbir","Neutral"
0," dipa takbir main petas enggak","Neutral"
-3," min ini malam takbir lho kenapa ada mati lampu segala","Negative"
4,"takbir guys selamat lebaran","Positive"
4,"rt alhamdulillah kemarin baru banget cair uang campaign jadi aku mau bagi bahagia lagi sama kalian special malam takb","Positive"
0,"rt malam takbir masih standby jaga simbok ","Neutral"
0,"rt mini giveaway halo guys karena sekarang malam takbir aku mau kasih thr saldo dana sbesar kak untuk orang yang untung sama","Neutral"
4,"malam takbir with sayang ","Positive"
0,"ep gilax yang lain takbir ini malah istighfar ","Neutral"
-6,"malam takbir di pamer benar benar sulit tidur banyak bom dadak","Negative"
0," takbir saja","Neutral"
-1,"rt edisi takbir mau bagi saldo dana nominal rahasia for ba only ya syarat rt follow saja auto fb buat ba zonauang","Negative"
0,"rt giveaway karena thr aku sudah cair aku juga mau bagi sedikit thr saldo spay kak untuk orang rt like enggak usah","Neutral"
4," tau ghost hubung takbir kali ini saya delay pulkam saya mau ajak throwback takbir pada tahun lalu enggak erti kalo lagi di kampung ads saja ide tiap tahun konsep tiap dusun punya ciri khas buat sambut hari raya ","Positive"
0,"rami takbir ","Neutral"
0,"rt fast enggak saldo suai ingin ku misal terima kerja dan dapat gaji pertama aku pengin nge giveaway hubung","Neutral"
0," takbir enggak","Neutral"
-4,"idihhhh sih najis lu sok an pikir begini takbir saja kata guemahhh","Negative"
0,"berkah malam takbir fr ","Neutral"
0,"edisi malam takbir ","Neutral"
4,"malam takbir makin senyum","Positive"
5," iya seru banget kak setelah tahun enggak ada takbir huhu","Positive"
-3," malam takbir banyak yang hilang sampai enggak bagi fast makji","Negative"
0,"riah malam takbir masyarakat desa toaya pawai obor keliling desa ","Neutral"
-4,"rt kelakuane takbir malah mesum ","Negative"
5,"keluarga bahagia banget malam takbir main sama teman wkwkwk","Positive"
