"","score","text","class"
"1",3,"alhamdulillah tahun ini sholat idul fitri sudah boleh laku berjamaah laksana sama tetap harus laksana mulai dari laksana sholat idul fitri hingga dengan silaturrahmi sama kerabat tetapprokessaatlebaranbersama laksana sama ","Positive"
"2",5,"rt kak jomblo soonrt saja rep thrdariakungakasyik selamat hari raya idul fitri mohon maaf lahir batintt","Positive"
"3",0," list done follow tunggu follbacknya yaselamat idul fitri mhn maaf lahir dan batin","Neutral"
"4",5," thrdariakungakasyik selamat hari raya idul fitri mohon maaf lahir batin","Positive"
"5",5,"taqabbalallahu minna wa minkum taqabbal ya karim selamat hari raya idul fitri man teman mohon maaf lahir dan batin ","Positive"
"6",0," doa di hari idul fitri maksud wks","Neutral"
"7",5,"selamat hari raya idul fitri hminal aidin walfaidzin mohon maaf lahir dan bathin eidmubarak idulfitri indonesia","Positive"
"8",5,"rt selamat hari raya idul fitri mohon maaf lahir dan batin semua ","Positive"
"9",0,"rt giveaway satu winner dalam rangka idul fitri h rules rep happy eid mubarak exol rt likecl","Neutral"
"10",9," taqabbalallahu minna wa minkum minal aidin wal faizin mohon maaf lahir dan batin pak didu selamat hari raya idul fitri sehat selalu ","Positive"
"11",0,"rt tehe agenda idul fitri ","Neutral"
"12",1,"kepala divisi humas polri mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kadiv humas polriirjen pol prof dari dedi prasetyo sama hum sama sama tetapprokessaatlebaranbersama laksana sama ","Positive"
"13",4,"rt untuk teman dan sahabat semua jika ada sikap tutur kata dan tingkah laku yang tak kenan ijinkan diri lebur m","Positive"
"14",1,"rt moga ada normal ini bisa tahan lama lama selamat raya hari raya idul fitri minal aidin wal faidzin moh","Positive"
"15",5,"rt penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid berik","Positive"
"16",-4,"ibunda sakit catherine wilson raya idul fitri di rumahsaja ","Negative"
"17",0,"winarti solat idul fitri sama wargamenggala ","Neutral"
"18",5,"rt minal aidin wal faidzin mohon maaf lahir dan batinselamat hari raya idul fitri syawal hsemoga hari menang i","Positive"
"19",4," selamat hari raya idul fitri hmohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
"20",2,"rt idm captionnya kurang meski wajah tak mampu jumpa tang tak bisa saling jabat moga coret kata ini mampu men","Positive"
"21",-2,"enggak boleh geer itu cuma chat template idul fitri ","Negative"
"22",4,"selamat idul fitri syawal h taqqabalallahu minna waa miinkum taqqabal ya kariiimmohon maaf lahir bathin","Positive"
"23",4,"rt selamat hari raya idul fitri bagi yang raya warm regards teambaksomeria ","Positive"
"24",4,"rt selamat hari raya idul fitri h ","Positive"
"25",0,"rt horashami sian tondong halakhitafriendsclubmanghatahon ramot idul fitri syawal h ","Neutral"
"26",9,"rt aksi anak anak bina iman gereja katolik st yohanes buat bingkis khas idul fitri bagi warga kitar gereja yang raya","Positive"
"27",-1," kakanwil a yuspahruddin kemenkumham jateng kakanwil kemenkumham jateng serah remisi khusus idul fitri untuk warga bina","Negative"
"28",5,"kapolri selamat hari raya idul fitri syawal h mohon sama af lahir bathin humaspoldakepri multimediapoldakepri lawancovid adaptasikebiasaanbaru disiplinbersamapolri polripresisisi prokesmudiksehat ","Positive"
"29",4,"raja salman ucap syukur arab saudi percaya layan umat islam kumparannews ","Positive"
"30",5,"selamat hari raya idul fitri syawal h minal aidin wal faidzin mohon sama af lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo nya juliati sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
"31",1,"rt admin dan mengucapkanselamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
