"score","text","class"
5,"rt selamat hari raya semua raya itu raya juga tapi adab kena jaga bila ziarah rumah orang ok benda ini tak perlu nak rem","Positive"
0," ih moga enggak kenapa deh aku barusan pulang ziarah ","Neutral"
0," mak pak hang mampuih hg tak ziarah kubur ke","Neutral"
0," rasa kali dapat ziarah lagi next time kak ","Neutral"
0," jokowi muslim yang diijinkan oleh rasulullah ziarah langsung ke makam beliau keluarga","Neutral"
-4," potret anak problematik ziarah ke makan orang tua ","Negative"
1," iya apalagi tadi ziarah makam cuaca nano nano panas iya hujan iya baju koko saya sudah bau macam macam tinggal bersih lalu turu thr jangan lupa kembang ya r ","Positive"
-2,"lebaran gue tuh begini solat salam pulang benerin kerudung foto dikit ziarah beli bakso eskrim ganti baju tidur","Negative"
-4,"lemang order kne cancel sebab rini raya sobsobsob nk makan lemang mak aku memang buat hari ini hari rehearsal eh lepas solat raya amik gambar tuka baju tido xde pun enggak ziarah mana esok baru balik kg sebab ada tahlil kubur","Negative"
-7,"aku deh penat aku malas nak buat pape kira deposit pun aku buat lanbat padahal aku nak ziarah mak abah ini lambat macam ini jadi aku tak daya nak buat benda lain dahhh","Negative"
-3,"rt askrl aku enggak ikut ziarah ke makam kakek nenek dari keluarga ayah gara gara ibu aku emosi","Negative"
-3," askrl aku enggak ikut ziarah ke makam kakek nenek dari keluarga ayah gara gara ibu aku emosi","Negative"
0," enggak tau juga sih tapi dulu ada yang ziarah pas lagi haid terus knpaa begitu aku lupaa cerita ","Neutral"
0," first time enggak ziarah kubur arwah mok aku lepas tanam sebab covid dihhh ","Neutral"
0,"ziarah dulu sama anak ","Neutral"
0," soal habis sholat eid langsung keliling buat silaturahmi ke tetangga tetangga sama ziarah ke makam","Neutral"
4,"ziarah ke makam kakek nenek minta maaf enggak bisa jaga anak dengan baik ","Positive"
-3," nah itu bingung aku juga pernah pas haid lagi ziarah ","Negative"
0,"gua ziarah saja masih cengarcengir ","Neutral"
0," enggak tau sih soal tiap gue haid terus mau ziarah disuru jaga rumah enggak boleh ke makam","Neutral"
-4," gue dari pagi pakai baju biasa doang pakr baju baru pas rumah teman sama ziarah kubur doang habis itu ganti lagi","Negative"
-1," betul lah itu tak khusus maka ziarah lah pada pagi raya atau pagi krismas pon tiada masalah ","Negative"
-2,"tadi keluarga belum ada yang bisa ziarah ke makam jadi aku sama pupu cuma dua aji yasin habis itu kita duduk di makam jajan sampai soreee ","Negative"
-2,"biasa petang raya ziarah kubur tapi duk ingat raya hari selasa maka tak pergi lah malam hari ini nak pergi cuaca macam tak izin pula ","Negative"
5,"part tersweet dari ziarah kubur hari ini ada kakek yang di usia dan tubuh yang tak tegap lagi ia masih sempat ziarah ke makam istri pemandangan yang jarang banget bakal kita temu meski sudah beda alam tapi masih setia sehat selalu kayak ","Positive"
0,"rt dua tahun tak raya ziarah rumah ke rumah riah aidilfitri ","Neutral"
0,"dua tahun tak raya ziarah rumah ke rumah riah aidilfitri ","Neutral"
0," ziarah dengan sembah pun kali boleh beza","Neutral"
0," owalaa moga nanti dapat ya ziarah ke tempat tante","Neutral"
-6,"tak dapat soal bila nak kawin sebab tak pergi ziarah mana mana pun cuma balik kampung lawat opah tak pergi rumah dara mara yang lain tahun ini aku isytiharkan aku tak raya ","Negative"
0," pergi ziarah orang hari raya main game di hari raya sama korean ","Neutral"
